"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 18:47:18 GMT 2024","Mon Apr 15 18:47:18 GMT 2024","47","","com.example.junit5.StepTest","","com.example.junit5.StepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Mon Apr 15 18:47:18 GMT 2024","Mon Apr 15 18:47:18 GMT 2024","16","","com.example.junit5.StepTest","","com.example.junit5.StepTest","annotatedStepTest","annotatedStepTest()",""
